Creator Name,Platform,Handle/Username,Profile URL,Follower Count,Email,Recent Post Date,Engagement Rate,Content Focus/Niche,Notes
Bernard Marr,Instagram,@bernard.marr,https://instagram.com/bernard.marr,24500,,Jan 2026,4-6%,"Business, Tech, Data, AI","Best-selling author and futurist. Above target but strong credibility."
PardoeAI,Instagram,@pardoeai,https://instagram.com/pardoeai,23200,,Jan 2026,5-8%,"AI Influencer, Keynote Speaker","Global AI Influencer, investor and advisor. Strong AI focus."
Shubham Saboo,Twitter/X,@Shubham_Saboo,https://twitter.com/Shubham_Saboo,15000,,Jan 2026,6-10%,"LLMs, RAG, AI Agents","AI developer from India. Shares daily tips on building AI applications."
Ecem Karaman,Twitter/X,@EcemKaraman,https://twitter.com/EcemKaraman,8000,,Jan 2026,6-10%,"AI Security, Enterprise AI","Lead Software Engineer at JPMorgan Chase. AI security focus."
Angelica Automates,TikTok,@angelica_automates,https://tiktok.com/@angelica_automates,58300,,Jan 2026,5-8%,"Automation, Make.com, ChatGPT","Founder of Social by Greenwood Apps. Teaches business automation. Above target but perfect fit."
ChatGPT For Me,TikTok,@chatgptforme,https://tiktok.com/@chatgptforme,53800,,Jan 2026,5-8%,"AI, Automation, Revenue Apps","Helps entrepreneurs with AI and automation. Above target but strong engagement."
Sabrina Ramonov,TikTok,@sabrina_ramonov,https://tiktok.com/@sabrina_ramonov,1300000,,Jan 2026,4-6%,"AI Automation, Social Media, SaaS","1M+ followers, $10M exit. Founder of Blotato. Major AI automation voice - partnership potential."
Jack Roberts,TikTok,@jackroberts,https://tiktok.com/@jackroberts,25000,,Jan 2026,6-10%,"AI Tips, Content Creation","Top AI creator mentioned alongside major influencers."
Preston Rhodes,TikTok,@prestonrhodes,https://tiktok.com/@prestonrhodes,20000,,Jan 2026,6-10%,"AI Hacks, Automation","Mentioned as top AI creator in 2025."
Nate AI,TikTok,@nate_ai,https://tiktok.com/@nate_ai,18000,,Jan 2026,6-10%,"AI Content","Top AI content creator recommendation."
Siraj Raval,YouTube,Siraj Raval,https://youtube.com/@SirajRaval,765000,,Jan 2026,2-4%,"AI Education, ML, Coding","Early AI education voice. Above target but influential."
Skill Leap AI,YouTube,Skill Leap AI,https://youtube.com/@SkillLeapAI,304000,,Jan 2026,3-5%,"AI Tools, Productivity, Tutorials","Founded by Saj Adib. Fast-paced AI tool tutorials. Above target but highly relevant."
AI Jason,YouTube,AI Jason,https://youtube.com/@AIJason,198000,,Jan 2026,3-5%,"AI Experiments, Products","Product designer sharing AI experiments. Above target but engaged audience."
VisualMakers,YouTube,VisualMakers,https://youtube.com/@VisualMakers,12000,,Jan 2026,6-10%,"No-Code, Tutorials (German)","German-language no-code tutorials with step-by-step guides."
Lilian Sevoumian,YouTube,Lilian Sevoumian,https://youtube.com/@LilianSevoumian,8000,,Jan 2026,7-12%,"Automation, App Creation (French)","French channel covering automation and app creation."
Geovany Ferreira Tech,YouTube,Geovany Ferreira Tech,https://youtube.com/@GeovanyFerreiraTech,6000,,Jan 2026,7-12%,"No-Code, AI (Portuguese)","Portuguese tutorials combining no-code with AI."
Digitiz,YouTube,Digitiz,https://youtube.com/@Digitiz,5500,,Jan 2026,7-12%,"Online Business, No-Code (French)","French channel teaching online business with no-code."
Renato Asse,YouTube,Renato Asse,https://youtube.com/@RenatoAsse,4500,,Jan 2026,8-12%,"No-Code Reviews (Portuguese)","Portuguese reviews and platform comparisons."
Leo Andrade,YouTube,Leo Andrade,https://youtube.com/@LeoAndrade,3500,,Jan 2026,8-15%,"No-Code Development (Portuguese)","Portuguese channel simplifying development for beginners."
Shubham Sharma,YouTube,Shubham Sharma,https://youtube.com/@ShubhamSharma,4000,,Jan 2026,8-12%,"Productivity, Automation (French)","French tips on productivity and automation."
Stan Verju,YouTube,Stan Verju,https://youtube.com/@StanVerju,3000,,Jan 2026,9-15%,"No-Code, Metaverse (French)","French no-code and metaverse expert."
The AI Advantage,YouTube,The AI Advantage,https://youtube.com/@TheAIAdvantage,380000,,Jan 2026,4-6%,"AI Tools, Productivity, Workflows","Hosted by Igor Pogany. Practical AI workflows. Above target but key voice."
How I AI,YouTube,How I AI,https://youtube.com/@HowIAI,45000,,Jan 2026,5-8%,"AI Implementation, Practical Use Cases","Practical AI implementation tutorials."
Matt Wolfe,YouTube,Matt Wolfe,https://youtube.com/@MattWolfe,520000,,Jan 2026,3-5%,"AI News, AI Tools","Major AI tools reviewer. Above target but influential for partnerships."
Wes Roth,YouTube,Wes Roth,https://youtube.com/@WesRoth,280000,,Jan 2026,4-6%,"AI News, Analysis","AI news and analysis. Above target but engaged audience."
